"","Age","Total","Bumiputera","Chinese","Indians","Others","Non.Malaysian.Citizens","Gender","State"
"1"," 0 - 4",153.9,105.1,34.4,8.4,1.5,4.5,"Male","JOHOR"
"2"," 5 - 9",150.6,95.3,38.3,9.1,1.8,6.2,"Male","JOHOR"
"3"," 10 - 14",152.4,92.8,42.6,10.1,1.5,5.4,"Male","JOHOR"
"4"," 15 - 19",169.9,96.7,49.6,11.2,1.2,11.2,"Male","JOHOR"
"5"," 20 - 24",197.7,89.4,49,10.2,0.7,48.3,"Male","JOHOR"
"6"," 25 - 29",193.2,84.4,44.6,10,0.4,53.7,"Male","JOHOR"
"7"," 30 - 34",176.3,86.4,43.5,10.7,0.4,35.4,"Male","JOHOR"
"8"," 35 - 39",154.2,74.9,43.2,11.1,0.3,24.7,"Male","JOHOR"
"9"," 40 - 44",125.6,58.9,40.9,9.4,0.5,16,"Male","JOHOR"
"10"," 45 - 49",111.7,53.9,38.6,7.7,0.2,11.2,"Male","JOHOR"
"11"," 50 - 54",100.6,50.2,36,6.7,0.2,7.5,"Male","JOHOR"
"12"," 55 - 59",89.5,45.2,32.4,5.9,0.2,5.9,"Male","JOHOR"
"13"," 60 - 64",68.6,34.6,25.9,4.1,0.3,3.6,"Male","JOHOR"
"14"," 65 - 69",51.3,25.4,20.6,2.7,0.2,2.4,"Male","JOHOR"
"15"," 70 - 74",34.9,16.1,15.5,1.7,0,1.6,"Male","JOHOR"
"16"," 75 - 79",20.5,9.2,9.6,0.8,0,0.9,"Male","JOHOR"
"17"," 80 - 84",12.5,5.3,5.8,0.4,0,1,"Male","JOHOR"
"18"," 85+",10.5,4.9,3.8,0.6,0,1.2,"Male","JOHOR"
"19"," 0 - 4",143.8,98.2,32.5,7.8,1.7,3.6,"Female","JOHOR"
"20"," 5 - 9",138.7,87.2,35.7,8.9,2.3,4.5,"Female","JOHOR"
"21"," 10 - 14",142.9,87.1,39.9,9.8,1.3,4.6,"Female","JOHOR"
"22"," 15 - 19",154.9,92.5,44.8,10.4,1.2,6.2,"Female","JOHOR"
"23"," 20 - 24",163.1,85.8,43.7,10,0.7,22.8,"Female","JOHOR"
"24"," 25 - 29",150.7,80.8,41.7,9.2,0.6,18.3,"Female","JOHOR"
"25"," 30 - 34",147.2,83.1,39.8,9.1,0.4,14.9,"Female","JOHOR"
